numfven,codprod,codcon,nomdet,serdet,venfec,valuni,candet,ivapor,ivapes,totdet,numite,cosprod,tipsub,dctpor,coskar,undfra
27784,11256, ,llave mandril taladro 3/8, ,2022-05-01,2000.0,1.0,0.0,0.0,2000.0,1,1450.0,U,0.0,1450.0,1
27785,11123, ,tiner media, ,2022-05-01,2800.0,1.0,0.0,0.0,2800.0,1,1886.78,U,0.0,1876.5,1
27785,1724, ,esmalte caoba 1/32, ,2022-05-01,5000.0,1.0,0.0,0.0,5000.0,2,3646.16,U,0.0,3646.16,1
27785,1008, ,brocha bellota pro 1 1/2, ,2022-05-01,3000.0,1.0,0.0,0.0,3000.0,3,2100.0,U,0.0,2154.59,1
27786,1484, ,lampara led antipolvo 120cm 18w 2*18 OSBLACK, ,2022-05-01,20000.0,2.0,0.0,0.0,40000.0,1,14200.0,U,0.0,14138.57,1
27786,10200, ,cable duplex 2*10 pinpinov eco, ,2022-05-01,1800.0,4.0,0.0,0.0,7200.0,2,1415.4,U,0.0,2099.22,1
27786,10113, ,clavija granade codelca 15amp, ,2022-05-01,3000.0,2.0,0.0,0.0,6000.0,3,1995.63,U,0.0,2292.73,1
27787,11848, ,alambre pua 16.5 *100mt motto, ,2022-05-01,64000.0,1.0,0.0,0.0,64000.0,1,51650.34,U,0.0,51650.34,1
27787,10445, ,clavo madera caj 50ud 2-2.2-3 pulg, ,2022-05-01,3600.0,1.0,0.0,0.0,3600.0,2,3022.6,U,0.0,3022.6,1
27788,10736, ,interruptor doble ceb-intime, ,2022-05-01,4200.0,2.0,0.0,0.0,8400.0,1,3300.0,U,0.0,3427.04,1
27789,10736, ,interruptor doble ceb-intime, ,2022-05-01,4200.0,1.0,0.0,0.0,4200.0,1,3300.0,U,0.0,3427.04,1
27789,11246, ,soga manila verde tesicol 3mm *1000mt, ,2022-05-01,200.0,10.0,0.0,0.0,2000.0,2,59.06,U,0.0,59.05,1
27790,10700, ,ducha kontiki k-104, ,2022-05-01,55000.0,1.0,0.0,0.0,55000.0,1,37480.0,U,0.0,47509.87,1
27790,11345, ,cinta teflon eco, ,2022-05-01,700.0,1.0,0.0,0.0,700.0,2,450.0,U,0.0,450.0,1
27791,12187, ,epoximil loctite 98g, ,2022-05-01,13000.0,1.0,0.0,0.0,13000.0,1,10728.0,U,0.0,10728.0,1
27791,10687, ,cemento blanco argos *40kg, ,2022-05-01,1800.0,2.0,0.0,0.0,3600.0,2,1325.0,U,0.0,1326.29,1
27792,1484, ,lampara led antipolvo 120cm 18w 2*18 OSBLACK, ,2022-05-01,20000.0,2.0,0.0,0.0,40000.0,1,14200.0,U,0.0,14138.57,1
27792,10200, ,cable duplex 2*10 pinpinov eco, ,2022-05-01,1800.0,6.0,0.0,0.0,10800.0,2,1415.4,U,0.0,2099.22,1
27792,10113, ,clavija granade codelca 15amp, ,2022-05-01,3000.0,2.0,0.0,0.0,6000.0,3,1995.63,U,0.0,2292.73,1
27793,10437, ,guante nitrilo varias marcas eco docena, ,2022-05-01,3500.0,1.0,0.0,0.0,3500.0,1,2000.0,U,0.0,2354.79,1
27794,11644, ,soldadura varilla metal roja 1/8 west arco e6013 900g, ,2022-05-01,16500.0,1.0,0.0,0.0,16500.0,1,13500.2,U,0.0,13500.2,1
27795,10699, ,cemento san marcos-argos-cemex bto 50kg, ,2022-05-01,31500.0,1.0,0.0,0.0,31500.0,1,590.0,U,0.0,584.41,50
27796,2199, ,llave lavaplatos cuello de ganzo flex, ,2022-05-01,35000.0,1.0,0.0,0.0,35000.0,1,22800.0,U,0.0,22800.0,1
27797,11098, ,vinilo fino tipo 2 azul pacifico gal pintuland, ,2022-05-01,46000.0,2.0,0.0,0.0,92000.0,1,31535.0,U,0.0,30107.0,1
27797,10105, ,interruptor sencillo conm ceb-castools-intime, ,2022-05-01,3500.0,1.0,0.0,0.0,3500.0,2,2400.0,U,0.0,2450.93,1
27798,2237, ,rejilla sifon sosco plastico plastigrifos 3*4 pulg, ,2022-05-01,4000.0,5.0,0.0,0.0,20000.0,1,3000.0,U,0.0,3000.0,1
27798,10573, ,clavo acero liso 1pulg, ,2022-05-01,7800.0,1.0,0.0,0.0,7800.0,2,6401.15,U,0.0,5790.76,1
27799,10234, ,lija omega #100 octavo, ,2022-05-01,1400.0,3.0,0.0,0.0,4200.0,1,1150.0,U,0.0,1150.0,1
27800,10481, ,fragua continental blanca, ,2022-05-01,7000.0,1.0,0.0,0.0,7000.0,1,4600.0,U,0.0,4600.0,1
27801,1265, ,clavo madera 1 pulg puma 500g, ,2022-05-01,5200.0,2.0,0.0,0.0,10400.0,1,4620.0,U,0.0,4620.0,1
27802,10345, ,amarra plastica-metal zinc x100, ,2022-05-01,14500.0,2.0,0.0,0.0,29000.0,1,117.0,U,0.0,117.77,100
27803,11626, ,cancamo abierto 41/64 forte, ,2022-05-01,500.0,2.0,0.0,0.0,1000.0,1,97.71,U,0.0,97.71,1
27803,11722, ,cadena galvanizada 1/8 mt, ,2022-05-01,3000.0,4.0,0.0,0.0,12000.0,2,2150.0,U,0.0,2150.0,1
27803,1385, ,cadena plastica blanca , ,2022-05-01,3000.0,10.0,0.0,0.0,30000.0,3,2022.48,U,0.0,2022.48,1
27803,11564, ,cancamo cerrado 9/16 #10, ,2022-05-01,400.0,12.0,0.0,0.0,4800.0,4,218.37,U,0.0,215.7,1
27804,10600, ,vinilo tipo 3 icolatex blanco galon ico, ,2022-05-01,23500.0,1.0,0.0,0.0,23500.0,1,21413.82,U,0.0,21110.1,1
27804,1056, ,rodillo superior ovejero 9pulgadas, ,2022-05-01,5000.0,1.0,0.0,0.0,5000.0,2,3700.0,U,0.0,4365.7,1
27804,11594, ,bandeja profesional pintuco-caribe, ,2022-05-01,7000.0,1.0,0.0,0.0,7000.0,3,5165.79,U,0.0,4983.23,1
27804,1060, ,brocha mona mango azul 2 1/2 pulg, ,2022-05-01,3500.0,1.0,0.0,0.0,3500.0,4,2450.0,U,0.0,2450.0,1
27804,1093, ,balde de costruccion bellota de 8 lt 104650, ,2022-05-01,5000.0,1.0,0.0,0.0,5000.0,5,4125.73,U,0.0,3716.83,1
27805,10274, ,rodachines planos naylon 2pulg *4ud, ,2022-05-01,10000.0,2.0,0.0,0.0,20000.0,1,1775.0,U,0.0,0.0,4
27806,10470, ,segueta herragro bimetalica 18 dientes, ,2022-05-01,4500.0,1.0,0.0,0.0,4500.0,1,3501.46,U,0.0,3501.46,1
27807,10699, ,cemento san marcos-argos-cemex bto 50kg, ,2022-05-01,1000.0,10.0,0.0,0.0,10000.0,1,590.0,U,0.0,584.41,1
27808,10616, ,chazo plastico aleta 3/8 broca doc., ,2022-05-01,100.0,8.0,0.0,0.0,800.0,1,33.3,U,0.0,33.3,1
27808,10159, ,tor drywall 10*2pulg *100u, ,2022-05-01,100.0,8.0,0.0,0.0,800.0,2,77.0,U,0.0,136.57,1
27808,1533, ,marco segueta globy negro-amari 12 pulg, ,2022-05-01,15000.0,1.0,0.0,0.0,15000.0,3,10300.0,U,0.0,10300.0,1
27809,10620, ,chazo plastico ranurado 1/4 broca ciento, ,2022-05-01,50.0,15.0,0.0,0.0,750.0,1,17.01,U,0.0,16.84,1
27810,10918, ,abrazadera 1 1/4 pulg, ,2022-05-01,1800.0,1.0,0.0,0.0,1800.0,1,1150.0,U,0.0,1113.29,1
27810,10549, ,tee extencion codelca c-036, ,2022-05-01,3700.0,1.0,0.0,0.0,3700.0,2,2569.21,U,0.0,2965.81,1
27810,10345, ,amarra plastica-metal zinc x100, ,2022-05-01,14500.0,0.5,0.0,0.0,7250.0,3,117.0,U,0.0,117.77,100
27811,10186, ,cortinero terminal colores plastico 1/2, ,2022-05-01,600.0,2.0,0.0,0.0,1200.0,1,263.0,U,0.0,211.97,1
27811,10817, ,tubo cortinero coarrugado 1/2 dorado-aluminio *6mt, ,2022-05-01,3800.0,2.5,0.0,0.0,9500.0,2,2451.6,U,0.0,5216.72,1
27812,11252, ,aceite 3en1 30ml, ,2022-05-01,4500.0,1.0,0.0,0.0,4500.0,1,2538.69,U,0.0,0.0,1
27813,10210, ,aerosol negro mate 4, ,2022-05-01,7500.0,1.0,0.0,0.0,7500.0,1,6289.15,U,0.0,5826.24,1
27814,11409, ,estuco pasta bronco cuñete, ,2022-05-01,48000.0,1.0,0.0,0.0,48000.0,1,41998.0,U,0.0,41998.0,1
27815,11037, ,chazo expansion 3/8*1 7/8, ,2022-05-01,900.0,6.0,0.0,0.0,5400.0,1,719.0,U,0.0,0.0,1
27815,10154, ,ye lavadora plastica globy, ,2022-05-01,4500.0,1.0,0.0,0.0,4500.0,2,3050.01,U,0.0,3063.62,1
27816,12180, ,manguera desague lavadora coflex 1 1/4*1.7m, ,2022-05-01,25500.0,1.0,0.0,0.0,25500.0,1,21155.0,U,0.0,21155.0,1
27817,10601, ,union sanitario 4pulg eco, ,2022-05-01,4000.0,4.0,0.0,0.0,16000.0,1,3200.0,U,0.0,2875.83,1
27817,10930, ,tubo sanitario 4pulg liviano eco 6mt, ,2022-05-01,48000.0,1.0,0.0,0.0,48000.0,2,40000.0,U,0.0,40000.0,1
27817,1761, ,soldadura MG pvc 1/32, ,2022-05-01,6000.0,1.0,0.0,0.0,6000.0,3,4350.0,U,0.0,4350.0,1
27817,1133, ,limpiador union pvc 1/128, ,2022-05-01,1300.0,1.0,0.0,0.0,1300.0,4,653.0,U,0.0,711.8,1
27818,10617, ,chazo plastico aleta 1/2 broca doc., ,2022-05-01,150.0,6.0,0.0,0.0,900.0,1,75.01,U,0.0,78.27,1
27819,1065, ,silicona negra sintesolda 70 ml, ,2022-05-01,11500.0,1.0,0.0,0.0,11500.0,1,9346.26,U,0.0,9346.26,1
27820,10608, ,pila panasonic cr2032, ,2022-05-01,1500.0,1.0,0.0,0.0,1500.0,1,1000.0,U,0.0,987.99,1
27821,11420, ,tornillo carriaje cama 5/16 *3pulg+tuerca+arandela, ,2022-05-01,1000.0,8.0,0.0,0.0,8000.0,1,700.0,U,0.0,678.96,1
27822,11328, ,malla gallinero plastica negro 25*30mm 1.80-2m*50m agrotek, ,2022-05-01,1800.0,5.0,0.0,0.0,9000.0,1,958.49,U,0.0,967.77,1
27823,11164, ,cable utp cat 5  interno mt, ,2022-05-01,1000.0,30.0,0.0,0.0,30000.0,1,443.0,U,0.0,491.36,1
27823,11504, ,conector terminal rj45 5 amp ud, ,2022-05-01,600.0,2.0,0.0,0.0,1200.0,2,399.99,U,0.0,0.0,1
27823,10440, ,varios, ,2022-05-01,2000.0,1.0,0.0,0.0,2000.0,3,951.99,U,0.0,2358.57,1
27823,11164, ,cable utp cat 5  interno mt, ,2022-05-01,1000.0,2.0,0.0,0.0,2000.0,4,443.0,U,0.0,491.36,1
27824,10818, ,tubo cortinero coarrugado dorado-anoloc 3/4 *6mt, ,2022-05-01,5500.0,3.0,0.0,0.0,16500.0,1,4506.33,U,0.0,3738.13,1
27824,10187, ,cortinero terminal plastico colores 3/4, ,2022-05-01,700.0,6.0,0.0,0.0,4200.0,2,264.18,U,0.0,301.73,1
27824,1735, ,destornillador pretul estrella 1/4*4pulg, ,2022-05-01,6800.0,1.0,0.0,0.0,6800.0,3,5170.55,U,0.0,5170.55,1
27824,10412, ,llave pared flexible palanca unifer, ,2022-05-01,30000.0,1.0,0.0,0.0,30000.0,4,24000.0,U,0.0,23583.15,1
27825,10440, ,varios, ,2022-05-01,500.0,2.0,0.0,0.0,1000.0,1,951.99,U,0.0,2358.57,1
27825,11164, ,cable utp cat 5  interno mt, ,2022-05-01,1000.0,3.0,0.0,0.0,3000.0,2,443.0,U,0.0,491.36,1
27825,1039, ,sintesolda standard 24horas, ,2022-05-01,12000.0,1.0,0.0,0.0,12000.0,3,9938.88,U,0.0,8770.89,1
27826,1303, ,silicona tekbond 50g blanca, ,2022-05-02,5500.0,1.0,0.0,0.0,5500.0,1,4234.69,U,0.0,4158.23,1
27826,10950, ,pegacor blanco interior 10kg, ,2022-05-02,2000.0,1.0,0.0,0.0,2000.0,2,1445.0,U,0.0,220319.82,1
27827,12250, ,marmolina blanca fina*25 kls, ,2022-05-02,1000.0,2.5,0.0,0.0,2500.0,1,480.0,U,0.0,560.76,1
27827,12289, ,mineral bayer verde concentrado, ,2022-05-02,4500.0,8.0,0.0,0.0,36000.0,2,1359.0,U,0.0,1359.0,1
27827,11870, ,llana lisa 50867 bellota m plastico, ,2022-05-02,15000.0,1.0,0.0,0.0,15000.0,3,12899.96,U,0.0,19349.94,1
27828,1097, ,disco corte 4pul forte , ,2022-05-02,3000.0,1.0,0.0,0.0,3000.0,1,1400.0,U,0.0,1439.26,1
27828,1752, ,rodaja cortabaldosa ktool 16mm, ,2022-05-02,4500.0,1.0,0.0,0.0,4500.0,2,2800.0,U,0.0,0.0,1
27829,12218, ,cinta adesiva norton 24mm*40m, ,2022-05-02,4500.0,3.0,0.0,0.0,13500.0,1,3580.0,U,0.0,3580.0,1
27829,1093, ,balde de costruccion bellota de 8 lt 104650, ,2022-05-02,5000.0,1.0,0.0,0.0,5000.0,2,4125.73,U,0.0,3716.83,1
27829,11607, ,espatula mango caucho 5 pulg pinpinov, ,2022-05-02,4500.0,1.0,0.0,0.0,4500.0,3,3500.0,U,0.0,3030.33,1
27830,10789, ,gancho adhesivo 2, ,2022-05-02,500.0,4.0,0.0,0.0,2000.0,1,393.0,U,0.0,379.46,1
27831,1262, ,pulidora kalley 860w semi profesional, ,2022-05-02,135000.0,1.0,0.0,0.0,135000.0,1,95616.86,U,0.0,95616.86,1
27831,10344, ,cabo pala , ,2022-05-02,7000.0,2.0,0.0,0.0,14000.0,2,4800.0,U,0.0,5794.95,1
27831,11721, ,cabo pica-azadon, ,2022-05-02,7000.0,2.0,0.0,0.0,14000.0,3,4800.0,U,0.0,4800.0,1
27831,1927, ,pala redonda agrotek # 2, ,2022-05-02,16000.0,2.0,0.0,0.0,32000.0,4,13222.65,U,0.0,13222.65,1
27831,1958, ,zapapicos agrotek 5 lbs , ,2022-05-02,29000.0,1.0,0.0,0.0,29000.0,5,19740.0,U,0.0,19740.0,1
27832,10915, ,clavo acero estriado vertical 1pulg *libra, ,2022-05-02,7800.0,1.0,0.0,0.0,7800.0,1,6866.66,U,0.0,6585.87,1
27833,10168, ,rejilla sifon aluminio sosco antiolor 2*3 pulg, ,2022-05-02,5500.0,2.0,0.0,0.0,11000.0,1,4300.0,U,0.0,0.0,1
27834,1020, ,brocha bellota pro 3 pulgadas, ,2022-05-02,8500.0,1.0,0.0,0.0,8500.0,1,6933.77,U,0.0,0.0,1
27835,11442, ,estuco mastic pintuco cuñete 27k, ,2022-05-02,54000.0,1.0,0.0,0.0,54000.0,1,40918.22,U,0.0,40918.22,1
27836,10615, ,chazo plastico aleta 5/16 broca doc., ,2022-05-02,800.0,2.0,0.0,0.0,1600.0,1,26.0,U,0.0,-6.98,12
27837,2163, ,rodillo recargable bocherine, ,2022-05-02,33000.0,1.0,0.0,0.0,33000.0,1,26180.0,U,0.0,26180.0,1
27838,10957, ,escuadra refuerzo zincada 1 pulg, ,2022-05-02,600.0,12.0,0.0,0.0,7200.0,1,173.25,U,0.0,165.73,1
27839,10922, ,clavo madera sin cabeza puma 3/4 *libra, ,2022-05-02,5500.0,1.0,0.0,0.0,5500.0,1,4954.83,U,0.0,4515.43,1
27840,11960, ,estukados 40kg, ,2022-05-02,52000.0,5.0,0.0,0.0,260000.0,1,48000.0,U,0.0,48000.0,1
27840,11318, ,lija roja premier #150, ,2022-05-02,1700.0,10.0,0.0,0.0,17000.0,2,1409.29,U,0.0,1401.0,1
27840,10374, ,lija roja premier #220, ,2022-05-02,1700.0,20.0,0.0,0.0,34000.0,3,1341.61,U,0.0,0.0,1
27840,2110, ,separador 2mm *200ud, ,2022-05-02,2800.0,2.0,0.0,0.0,5600.0,4,1900.0,U,0.0,1900.0,1
27840,1009, ,brocha bellota pro 2, ,2022-05-02,4800.0,2.0,0.0,0.0,9600.0,5,3854.77,U,0.0,3667.25,1
27840,1580, ,cinta malla stait 5cm*20m, ,2022-05-02,3800.0,1.0,0.0,0.0,3800.0,6,2678.81,U,0.0,2678.81,1
27840,11492, ,cinta enmascar 48*25 tesa, ,2022-05-02,9000.0,2.0,0.0,0.0,18000.0,7,7859.68,U,0.0,7697.97,1
27840,1805, ,cinta metalica dry wal rrollo *30 mtrs, ,2022-05-02,33000.0,1.0,0.0,0.0,33000.0,8,28544.69,U,0.0,31938.88,1
27840,2233, ,cinta papel delta 75 mts , ,2022-05-02,13000.0,1.0,0.0,0.0,13000.0,9,9240.54,U,0.0,9240.54,1
27840,1398, ,rodillo epoxico superior 9 pulg caribe, ,2022-05-02,10000.0,2.0,0.0,0.0,20000.0,10,8065.82,U,0.0,8918.98,1
27840,11483, ,brilla metal 100gr el chamo, ,2022-05-02,5000.0,1.0,0.0,0.0,5000.0,11,3400.0,U,0.0,3400.0,1
27840,1826, ,saquilla 50k, ,2022-05-02,1200.0,20.0,0.0,0.0,24000.0,12,768.69,U,0.0,0.0,1
27841,10140, ,alambre cable #12 rojo centelsa *100mt, ,2022-05-02,175000.0,1.0,0.0,0.0,175000.0,1,1500.0,U,0.0,58044.0,100
27841,10684, ,cable alalmbre centelsa #14 verde *100mt, ,2022-05-02,135000.0,1.0,0.0,0.0,135000.0,2,1265.0,U,0.0,1496.11,100
27841,1054, ,cinta aislante tesa colores 5mt*18mm, ,2022-05-02,2900.0,1.0,0.0,0.0,2900.0,3,2310.15,U,0.0,2299.49,1
27841,10378, ,toma doble uduke 118k-06, ,2022-05-02,4500.0,4.0,0.0,0.0,18000.0,4,4000.0,U,0.0,3817.52,1
27841,10453, ,interruptor doble conmutable negro uduke, ,2022-05-02,4500.0,1.0,0.0,0.0,4500.0,5,2969.71,U,0.0,0.0,1
27841,10122, ,tablero 6 circuitos 1linea 75a tercol, ,2022-05-02,39000.0,1.0,0.0,0.0,39000.0,6,34900.0,U,0.0,34900.0,1
27842,10121, ,tablero 4 circuitos 1 linea 75a tercol, ,2022-05-02,32500.0,1.0,0.0,0.0,32500.0,1,30700.0,U,0.0,30700.0,1
27843,10824, ,aerosol aluminio, ,2022-05-02,8000.0,2.0,0.0,0.0,16000.0,1,6700.0,U,0.0,6751.45,1
27844,1564, ,manguera jardin bicolor m., ,2022-05-02,1800.0,6.0,0.0,0.0,10800.0,1,1372.0,U,0.0,1057091.35,1
27845,10170, ,racor manguera plastico, ,2022-05-02,1200.0,1.0,0.0,0.0,1200.0,1,500.0,U,0.0,0.0,1
27845,10215, ,abrazadera titan 1/2-3/4 10-06 10-04, ,2022-05-02,800.0,2.0,0.0,0.0,1600.0,2,579.99,U,0.0,0.0,1
27846,11790, ,vinilo tipo 2 vinilux blanco cuñete ico, ,2022-05-02,165000.0,1.0,0.0,0.0,165000.0,1,154713.52,U,0.0,154713.52,1
27847,1403, ,plastico 2 mts doblado * 100 calibre 6, ,2022-05-02,4000.0,3.5,0.0,0.0,14000.0,1,2960.0,U,0.0,3363.64,1
27847,10440, ,varios, ,2022-05-02,1000.0,6.0,0.0,0.0,6000.0,2,951.99,U,0.0,2358.57,1
27847,2135, ,gafa de proteccion antipañete hopex, ,2022-05-02,5000.0,3.0,0.0,0.0,15000.0,3,4043.0,U,0.0,4043.0,1
27848,10140, ,alambre cable #12 rojo centelsa *100mt, ,2022-05-02,2000.0,3.0,0.0,0.0,6000.0,1,1500.0,U,0.0,58044.0,1
27848,10685, ,cable alambre centelsa #14 negro *100mt, ,2022-05-02,1500.0,2.0,0.0,0.0,3000.0,2,1110.0,U,0.0,0.0,1
27849,11170, ,candado vera 63mm, ,2022-05-02,19000.0,1.0,0.0,0.0,19000.0,1,14834.54,U,0.0,16936.87,1
27849,1977, ,pistola plastica 5 funciones bocherine, ,2022-05-02,8000.0,1.0,0.0,0.0,8000.0,2,4299.47,U,0.0,4299.47,1
27850,10466, ,tijera de podar cesped herragro, ,2022-05-02,33000.0,1.0,0.0,0.0,33000.0,1,27902.23,U,0.0,38922.49,1
27851,1147, ,cable duplex 2*12 procables-centelsa-nexan, ,2022-05-02,4300.0,3.0,0.0,0.0,12900.0,1,3909.99,U,0.0,3905.33,1
27851,10118, ,toma caucho con polo codelca 15amp, ,2022-05-02,5700.0,1.0,0.0,0.0,5700.0,2,4750.0,U,0.0,4705.66,1
27851,10115, ,clavija con polo codelca 15amp, ,2022-05-02,4200.0,1.0,0.0,0.0,4200.0,3,3400.0,U,0.0,3400.0,1
27852,1495, ,chapa inafer izquierda c-333, ,2022-05-02,37000.0,2.0,0.0,0.0,74000.0,1,30962.61,U,0.0,0.0,1
27852,2198, ,chapa bola metalica globe door, ,2022-05-02,18000.0,11.0,0.0,0.0,198000.0,2,16300.0,U,0.0,16300.0,1
27853,1702, ,perro para cable 3/8, ,2022-05-02,1800.0,12.0,0.0,0.0,21600.0,1,1191.0,U,0.0,1191.0,1
27854,10268, ,silicona art-globy 85g, ,2022-05-02,5000.0,1.0,0.0,0.0,5000.0,1,4100.0,U,0.0,4333.33,1
27855,10772, ,codo sanitario heraplas 1/ 1/2, ,2022-05-02,1900.0,3.0,0.0,0.0,5700.0,1,1600.0,U,0.0,1455.94,1
27855,11613, ,limpiador pvc 1/128 mc, ,2022-05-02,1800.0,1.0,0.0,0.0,1800.0,2,1499.4,U,0.0,1499.4,1
27855,1761, ,soldadura MG pvc 1/32, ,2022-05-02,5800.0,1.0,0.0,0.0,5800.0,3,4350.0,U,0.0,4350.0,1
27856,10891, ,grifo jardin italy , ,2022-05-02,8000.0,1.0,0.0,0.0,8000.0,1,7975.58,U,0.0,7636.36,1
27857,10884, ,manila soga matiz lhaura 12mm *200mt carrete, ,2022-05-02,2200.0,15.0,0.0,0.0,33000.0,1,1711.71,U,0.0,1746.92,1
27858,10451, ,alambre de amarre kilo, ,2022-05-02,8500.0,1.0,0.0,0.0,8500.0,1,7129.05,U,0.0,0.0,1
